SubjID,Beta estimate,Condition
0,-0.02572998870164156,Congruent
1,0.040043409913778305,Congruent
2,0.014023610390722752,Congruent
3,0.015857413411140442,Congruent
4,0.0029543135315179825,Congruent
5,-0.013220194028690457,Congruent
6,0.020183958113193512,Congruent
7,0.01638568378984928,Congruent
8,0.03397042863070965,Congruent
9,-0.005422384827397764,Congruent
10,0.006645712302997708,Congruent
11,-0.028817848302423954,Congruent
12,-0.006304875074420124,Congruent
13,0.03774875961244106,Congruent
14,0.009949674364179373,Congruent
15,-0.0034453230910003185,Congruent
16,0.0031532488064840436,Congruent
17,0.00801904359832406,Congruent
18,0.013055465184152126,Congruent
19,0.013902412028983235,Congruent
20,0.026653382228687406,Congruent
21,0.005139681568834931,Congruent
22,0.024258697405457497,Congruent
23,0.013831890188157558,Congruent
24,-0.023770624306052923,Congruent
0,0.018377868676907383,Incongruent
1,0.07379919290542603,Incongruent
2,0.04015004821121693,Incongruent
3,0.04513339139521122,Incongruent
4,0.038828431628644466,Incongruent
5,0.018289027735590935,Incongruent
6,0.06606240384280682,Incongruent
7,0.031708382070064545,Incongruent
8,0.0732172355055809,Incongruent
9,0.02211248828098178,Incongruent
10,0.017794786021113396,Incongruent
11,-0.04457621602341533,Incongruent
12,0.02553967817220837,Incongruent
13,0.04952367441728711,Incongruent
14,0.045691286213696,Incongruent
15,0.04675767384469509,Incongruent
16,0.039261901285499334,Incongruent
17,0.03147369064390659,Incongruent
18,0.051692159846425056,Incongruent
19,0.04420353606110439,Incongruent
20,0.07076247408986092,Incongruent
21,0.04740951210260391,Incongruent
22,0.04173543117940426,Incongruent
23,0.08257167600095272,Incongruent
24,-0.005866525694727898,Incongruent
0,0.019300518441013992,Uninformative
1,0.04681696370244026,Uninformative
2,0.01556409033946693,Uninformative
3,0.02971459925174713,Uninformative
4,0.0325885359197855,Uninformative
5,-0.007027929998002946,Uninformative
6,0.018169674091041088,Uninformative
7,0.038423169404268265,Uninformative
8,0.05889943800866604,Uninformative
9,0.00957177160307765,Uninformative
10,0.024432756938040257,Uninformative
11,-0.035220202058553696,Uninformative
12,0.0019061948405578732,Uninformative
13,0.03325521107763052,Uninformative
14,0.017542893532663584,Uninformative
15,0.017741696443408728,Uninformative
16,0.004098609322682023,Uninformative
17,0.024227124638855457,Uninformative
18,0.02353384532034397,Uninformative
19,0.013730865903198719,Uninformative
20,0.04051191592589021,Uninformative
21,0.042304739356040955,Uninformative
22,0.04411874711513519,Uninformative
23,0.004495551344007254,Uninformative
24,-0.011353423818945885,Uninformative
