Congruent,Incongruent,Uninformative
0.716819172,0.502458211,0.634819172
0.68124183,0.4591087821,0.63604183
0.518474946,0.4748888891,0.446134946
0.613572985,0.515041289,0.559272985
0.638156318,0.4252133334,0.544956318
0.648910675,0.482222222,0.616810675
0.582777778,0.443333333,0.504777778
0.627151416,0.458333333,0.566941416
0.651767429,0.385555556,0.578367429
0.711432462,0.412222222,0.608432462
0.729697712,0.409444444,0.686097712
0.731990741,0.598333333,0.683790741
0.654757625,0.406111111,0.567437625
0.645669935,0.402222222,0.591459935
0.535525599,0.4911110242,0.512091
0.646576797,0.560055556,0.603366797
0.586947368,0.478888889,0.543732368
0.540667211,0.481666667,0.486346211
0.556492375,0.490555556,0.501822375
0.74621732,0.488444444,0.70301732
0.605705338,0.514444444,0.52331111
0.652339325,0.492777778,0.580039325
0.542388344,0.416111111,0.444178344
0.57912429,0.46111112,0.49441329
0.62235631,0.471112311,0.51000021
