Congruent,Incongruent,Uninformative
0.538050245,0.536066667,0.442284722
0.483722222,0.528333333,0.489592321
0.491937908,0.442211124,0.529772875
0.421115196,0.453833333,0.512421569
0.41317402,0.433166667,0.392079249
0.499318627,0.539333333,0.455264705
0.496433007,0.44450251,0.426196896
0.477534314,0.453333333,0.386355392
0.499684641,0.441833333,0.540135621
0.515206699,0.418166667,0.574436274
0.512515523,0.548433333,0.503413399
0.448511438,0.4735021122,0.471080882
0.423139706,0.549108911,0.417582516
0.521803105,0.443666667,0.542754902
0.543571895,0.4355011142,0.405321895
0.470627451,0.438166667,0.496956699
0.494984211,0.557633333,0.567852841
0.484875817,0.478833333,0.44448366
0.494080065,0.4505045101,0.454524509
0.568172386,0.4194042111,0.565361928
0.49204085,0.518166667,0.407244281
0.463541667,0.521501242,0.407251634
0.474401144,0.449166667,0.497318628
0.46732111,0.4891234021,0.441031077
0.498712345,0.465789912,0.465794861
