Behavioral Accuracy (Expected-Uninformative),Classification Accuracy (Expected-Uninformative),Region
0.0001,0.082,Contra-lateral
0.043887,0.0452,Contra-lateral
0.09611659,0.07234,Contra-lateral
0.075839223,0.0543,Contra-lateral
0.0852331,0.0932,Contra-lateral
0.023823334,0.0321,Contra-lateral
0.06879,0.078,Contra-lateral
0.070648,0.06021,Contra-lateral
0.054311,0.0734,Contra-lateral
0.0856,0.103,Contra-lateral
0.057888999,0.0436,Contra-lateral
0.037211,0.0482,Contra-lateral
0.0682,0.08732,Contra-lateral
0.045111,0.05421,Contra-lateral
0.0504111,0.0589,Contra-lateral
0.0465222,0.04321,Contra-lateral
0.032411,0.043215,Contra-lateral
0.03622,0.054321,Contra-lateral
0.03944,0.05467,Contra-lateral
0.05866432,0.0432,Contra-lateral
0.091633333,0.109,Contra-lateral
0.08622,0.0723,Contra-lateral
0.078875988,0.09821,Contra-lateral
0.0754322,0.084711,Contra-lateral
0.0923561,0.1123561,Contra-lateral
0.0001,0.095765523,Ipsi-lateral
0.043887,-0.005870098,Ipsi-lateral
0.09611659,-0.037834967,Ipsi-lateral
0.075839223,-0.091306373,Ipsi-lateral
0.0852331,0.021094771,Ipsi-lateral
0.023823334,0.044053922,Ipsi-lateral
0.06879,0.070236111,Ipsi-lateral
0.070648,0.091178922,Ipsi-lateral
0.054311,-0.04045098,Ipsi-lateral
0.0856,-0.059229575,Ipsi-lateral
0.057888999,0.009102124,Ipsi-lateral
0.037211,-0.022569444,Ipsi-lateral
0.0682,0.00555719,Ipsi-lateral
0.045111,-0.020951797,Ipsi-lateral
0.0504111,0.13825,Ipsi-lateral
0.0465222,-0.026329248,Ipsi-lateral
0.032411,-0.07286863,Ipsi-lateral
0.03622,0.040392157,Ipsi-lateral
0.03944,0.039555556,Ipsi-lateral
0.05866432,0.002810458,Ipsi-lateral
0.091633333,0.084796569,Ipsi-lateral
0.08622,0.056290033,Ipsi-lateral
0.078875988,-0.022917484,Ipsi-lateral
0.0754322,0.026290033,Ipsi-lateral
0.0923561,0.032917484,Ipsi-lateral
